1,82587
2,38897
3,47109
4,40930
5,35113
6,31598
7,37727
8,40993
9,36563
10,36614
11,29718
12,19154
13,65294
14,34933
15,32542
16,41847
17,42158
18,36645
19,43349
20,37819
21,41238
22,37683
23,26426
24,15134
25,57729
26,30228
27,31179
28,31054
29,31468
30,33783
31,36483
32,33473
33,35895
34,31208
35,29715
36,18713
37,61945
38,35379
39,43535
40,39074
41,38521
42,40205
43,44155
44,42564
45,49379
46,39533
47,41611
48,30593
49,77933
50,46428
51,52067
52,49488
53,50589
54,58944
55,55205
56,62217
57,65641
58,55829
59,51314
60,29543
61,90074
62,45226
63,62874
64,45833
65,58730
66,54186
67,57322
68,57490
69,48201
70,51375
71,41362
72,26536
73,82593
74,48175
75,57039
76,61244
77,70136
78,55209
79,66297
80,62388
81,64066
82,65713
83,45702
84,36782
85,85337
86,44880
87,38988
88,40698
89,43234
90,39477
91,47458
92,45272
93,44971
94,39947
95,28363
96,21381
97,49886
98,31713
99,36172
100,38634
101,35248
102,41811
103,44819
104,40859
105,49023
106,44305
107,37316
108,23008
109,42900
110,36788
111,43908
112,45160
113,44184
114,39445
115,48209
116,54326
117,52254
118,45313
119,41938
120,29057
121,68485
122,42320
